100,5200000
102,5740800
104,6307200
106,6930000
108,7549200
110,12342000
113,13923000
115,15105000
118,16846000
120,100000000*
120,40824000
123,45404550
125,48593250
128,55350000
130,61600500
132,68121000
138,78840000
138,90011250
140,97902000
143,1500000000*
145,130536000
148,159138000
150,190350000
153,242424000
155,405504000
158,497040000
160,596496000
163,706176000
165,824256000
168,3000000000*
170,2108240000x2
175,2526520000x2
180,2976000000x2
185,3464920000x2
190,3986640000x2
195,4551000000x2
200,5149760000x2
205,6474960000x3
210,7971840000x3
215,8000000000*
220,40000000000
220,64000000000
220,84000000000
220,105000000000
220,105000000000
230,210000000000
230,315000000000
230,420000000000
230,525000000000
230,525000000000*
240,630000000000
240,735000000000
240,840000000000
240,945000000000
240,1050000000000
245,1155000000000
245,1260000000000
245,1365000000000
245,1470000000000
245,1575000000000*
250,1680000000000
250,1785000000000
250,1890000000000
250,1995000000000
250,2100000000000
255,2205000000000
255,2310000000000
255,2415000000000
255,2520000000000
255,2100000000000*
260,2625000000000
260,2730000000000
260,2835000000000
260,2940000000000
260,3045000000000
260,3150000000000
260,3255000000000
260,3360000000000
260,3465000000000
260,20000000000000*
